X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-119.78,35.2299999991106,test,4.2043568646855077E-4,45.60131626306244,0.609324822127911
-112.156666964597,40.0694946187943,test,1.779965418011898E-4,27.21937131307736,0.32827690354807415
-112.744183873695,40.2209781696839,test,7.124531302593797E-4,57.13063391533852,0.7966202217799823
-120.47792,36.47645,test,9.01998693490817E-4,62.61583135732363,0.8668670461176271
-120.76,35.8399999991041,test,0.0048447869792282725,99.33232497430987,0.9999802125323228
-120.319480062376,35.6115553506687,test,3.755777370520137E-4,42.636327799750475,0.568116505867206
-119.57936,35.691199,test,0.002764404018427223,90.03532653865321,0.9979291398324841
-114.051326459802,32.268146245503,test,2.9777164405269486E-4,37.97874154855715,0.4860682742800111
-119.717863,35.412664,test,0.0021218727437463283,80.1864463533412,0.991291192839847
-119.993318,35.802102,test,0.0019260256764685759,76.84664259436565,0.9865073034402022
-119.452308,34.951079,test,9.587155918278802E-5,16.076270331397023,0.1929096770458354
-114.62226514104,35.0430641655064,test,1.8357294198326614E-4,28.037406148425237,0.33659860941454955
-119.35,35.2299999991106,test,0.003434057692466004,97.0601819016226,0.9995365415304112
-120.73,35.7399999991051,test,0.0035241151858797057,97.76279364621197,0.999621053755772
-116.29715,33.096719,test,1.0627582977337366E-4,17.295024297946078,0.2114648629585859
-120.032501675902,35.0830353096864,test,1.4784320932405984E-4,22.5491216128247,0.2814368443042675
-115.49891796801,35.2377333225786,test,8.517855096973663E-5,14.500525956348053,0.17338448228782488
-114.16445,34.477204,test,7.410286753115999E-5,13.003956217155192,0.1526623740609805
-119.398418670725,35.2137465235766,test,0.003157324701364427,94.7541903987792,0.9991396407963128
-116.958467904966,33.7854327512833,test,1.1752590630019E-4,18.61228470838328,0.2310487607959204
-117.216985,34.73919,test,3.377119573945102E-4,40.38498152796912,0.5299663219569184
-115.285382,35.492009,test,2.3472890892763267E-4,33.49456755221764,0.40828701949533586
-119.3515,35.28849999911,test,0.0030856146460804734,93.29057628606782,0.9989900491671873
-117.580573053401,36.3607339881271,test,7.341212038191283E-5,12.923628607000332,0.1513529412088408
-117.136442604563,36.7272455707843,test,2.023760418416891E-4,30.30706582215427,0.3639061445262468
-112.739719,32.265536,test,4.479771437403927E-5,7.980584718802461,0.09529353872038893
